implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
standard,"english.txt",262144,229376,0.125000000,0.875000000,,000102030405060708090a0b0c0d0e0f,1,1,0.017122000,229376,1017921,4.437783378,555,0.013293000,229376,1017921,4.437783378,555,0.000001000,78,,,,,,,,,,,,,,,,3.000000000,9.000000000,4.169925001,,
elastic,"english.txt",262144,229376,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.019258000,229376,670690,2.923976353,122,3.041460000,229376,85458668,372.570225307,130906,0.149190000,3617266,98304,181709,45056,0,329869,86016,159112,0,0,,0,,,,,3.000000000,9.000000000,4.169925001,,
standard,"english.txt",262144,253952,0.031250000,0.968750000,,000102030405060708090a0b0c0d0e0f,1,1,0.028334000,253952,3820403,15.043799616,4054,0.024598000,253952,3820403,15.043799616,4054,0.000002000,136,,,,,,,,,,,,,,,,5.000000000,25.000000000,4.169925001,,
elastic,"english.txt",262144,253952,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.029391000,253952,1079525,4.250901745,475,11.678947000,253952,340972876,1342.666629914,748918,0.141983000,3617266,98304,181709,60416,0,721891,95232,175925,0,0,,0,,,,,5.000000000,25.000000000,4.169925001,,
funnel,"english.txt",262144,253952,0.031250000,0.968750000,,000102030405060708090a0b0c0d0e0f,1,1,0.028986000,253952,8444023,33.250468592,151,0.058927000,253952,8444023,33.250468592,151,0.000007000,145,,,,,,,,,,,,253952,0,0,0,5.000000000,25.000000000,4.169925001,29.169925001,1024.000000000
standard,"english.txt",262144,260096,0.007812500,0.992187500,,000102030405060708090a0b0c0d0e0f,1,1,0.062324000,260096,15014407,57.726404866,29612,0.056904000,260096,15014407,57.726404866,29612,0.000041000,14607,,,,,,,,,,,,,,,,7.000000000,49.000000000,4.169925001,,
elastic,"english.txt",262144,260096,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.037793000,260096,1457556,5.603915477,701,22.047545000,260096,642552518,2470.443674643,1409792,0.143633000,3617266,98304,181709,64282,26,1096201,97510,179646,0,0,,0,,,,,7.000000000,49.000000000,4.169925001,,
funnel,"english.txt",262144,260096,0.007812500,0.992187500,,000102030405060708090a0b0c0d0e0f,1,1,0.033387000,260096,12687719,48.780907819,290,0.083728000,260096,12687719,48.780907819,290,0.000002000,286,,,,,,,,,,,,260096,0,0,0,7.000000000,49.000000000,4.169925001,53.169925001,256.000000000
standard,"english.txt",262144,261120,0.003906250,0.996093750,,000102030405060708090a0b0c0d0e0f,1,1,0.100363000,261120,27659349,105.925815717,78205,0.095953000,261120,27659349,105.925815717,78205,0.000051000,16784,,,,,,,,,,,,,,,,8.000000000,64.000000000,4.169925001,,
elastic,"english.txt",262144,261120,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.042225000,261120,1639695,6.279469210,801,26.188762000,261120,739374225,2831.549574908,1591870,0.157168000,3617266,98304,181709,64974,78,1277725,97842,180261,0,0,,0,,,,,8.000000000,64.000000000,4.169925001,,
funnel,"english.txt",262144,261120,0.003906250,0.996093750,,000102030405060708090a0b0c0d0e0f,1,1,0.034923000,261120,14733617,56.424697457,404,0.093857000,261120,14733617,56.424697457,404,0.000002000,402,,,,,,,,,,,,261120,0,0,0,8.000000000,64.000000000,4.169925001,68.169925001,128.000000000
